,AXA,GENERALI ITALIA,HDI,ZURICH_LIFE,CREDIT_AGRICOLE,CREDEM_VITA,CARDIF,HELVETIA_VITA,BMP VITA,UNICREDIT VITA,CNP_VITA,ALLIANZ_UNICREDIT,ATHORA,NOBIS_VITA,MEDIOLANUM,POSTE_VITA,QRT_INTESA_VITA,QRT_FIDEURAM_VITA,ITAS_VITA,GROUPAMA
R0400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0410,"74,493,443.02","835,068","206,983","40,012","55,730","74,274","88,714.90","17,054","30,377","254,078","438,634","45,962","22,184","12,106,350.70","119,006","4,145,305","1,771,780","576,319","51,264,493","73,497"
R0420,"3,758,022.00","1,269,395","10,294",576,"93,193",940,0,650,"5,230",0,"18,572","88,498","8,613","6,513.43","211,883","2,219,857","331,932","397,237","228,762","88,396"
R0500,"18,895,367,412.00","117,434,752","6,780,895","11,520,037","27,335,201","11,269,393","24,977,572.31","4,201,127","8,504,683","17,160,764","26,293,070","31,488,620","5,977,163","617,861,658.00","48,834,253","175,447,327","143,894,425","49,203,563","4,823,066,670","5,378,197"
R0510,0,"10,511,919","1,349,016",0,0,0,426.16,0,"1,393",0,0,0,0,0,0,"15,854","1,013",0,0,"1,690,678"
R0520,0,"9,451,103","1,292,919",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,601,367"
R0530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0540,0,"9,274,950","1,249,941",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,546,319"
R0550,0,"176,153","42,978",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"55,048"
R0560,0,"1,060,817","56,097",0,0,0,426.16,0,"1,393",0,0,0,0,0,0,"15,854","1,013",0,0,"89,311"
R0570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,013",0,0,0
R0580,0,"1,045,088","54,418",0,0,0,426.16,0,"1,386",0,0,0,0,0,0,"11,306",0,0,0,"85,035"
R0590,0,"15,728","1,679",0,0,0,0,0,7,0,0,0,0,0,0,"4,549",0,0,0,"4,276"
R0600,"12,095,638,985.00","59,594,885","3,463,224","4,420,605","16,279,269","4,901,227","17,445,467.23","2,277,373","5,839,613","6,476,274","15,576,307","8,671,410","4,595,961","181,783,585.47","1,113,258","133,958,246","78,819,758","8,904,673","2,223,869,527","1,588,296"
R0610,"16,477,398.00",0,231,0,0,0,"86,145.70",0,0,0,0,0,0,0,-373,"-15,340",0,0,"3,127,562",0
R0620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0630,"7,855,059.00",0,228,0,0,0,"77,742.66",0,0,0,0,0,0,0,-745,"-33,413",0,0,"3,039,453",0
R0640,"8,622,339.00",0,3,0,0,0,"8,403.04",0,0,0,0,0,0,0,372,"18,073",0,0,"88,109",0
R0650,"12,079,161,587.00","59,594,885","3,462,993","4,420,605","16,279,269","4,901,227","17,359,321.53","2,277,373","5,839,613","6,476,274","15,576,307","8,671,410","4,595,961","181,783,585.47","1,113,631","133,973,587","78,819,758","8,904,673","2,220,741,965","1,588,296"
R0660,0,0,0,0,0,0,0,0,0,0,0,0,"46,426",0,0,0,0,0,0,0
R0670,"11,968,484,663.00","59,012,836","3,423,265","4,349,009","16,075,141","4,821,632","17,231,092.09","2,225,528","5,809,051","6,430,761","15,338,298","8,603,102","4,487,110","179,716,737.41","1,060,210","131,248,508","78,099,708","8,831,203","2,145,083,123","1,568,776"
R0680,"110,676,924.00","582,048","39,728","71,596","204,127","79,595","128,229.44","51,845","30,562","45,513","238,009","68,308","62,425","2,066,848.06","53,421","2,725,079","720,050","73,470","75,658,842","19,520"
R0690,"4,714,510,265.00","15,093,478","691,740","5,987,451","8,526,673","5,197,613","5,393,081.01","1,476,415","1,092,664","8,861,898","7,393,485","20,587,885","648,934","348,555,781.75","43,501,129","22,196,294","51,023,877","37,001,898","1,864,283,612","760,267"
R0700,0,0,0,0,0,0,0,0,0,0,0,0,"3,152",0,0,0,0,0,0,0
R0710,"4,686,234,221.00","14,973,070","685,318","5,941,706","8,494,785","5,113,436","5,371,932.14","1,463,036","1,086,960","8,851,555","7,346,441","20,557,002","636,977","340,450,562.43","42,938,992","21,854,329","50,658,389","36,760,886","1,823,991,676","753,527"
R0720,"28,276,044.00","120,408","6,423","45,745","31,888","84,177","21,148.87","13,380","5,704","10,343","47,044","30,883","8,805","8,105,218.32","562,136","341,964","365,489","241,011","40,291,936","6,739"
R0730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0740,0,0,0,0,0,0,0,0,920,0,0,0,0,"296,295.54",0,0,0,0,"75,646",0
R0750,"5,472,962.00","170,820","9,389","19,793","9,469",0,"8,459.93","1,456",0,"36,290","1,436","14,125","1,095",0,"14,206","9,334","25,215","17,994","2,261,877","36,272"
R0760,"1,341,307.00","19,667","7,498",865,465,"2,724","7,004.19",259,"2,411","1,431","1,124",17,584,"409,969.27",683,755,"7,502","2,610","357,265","8,317"
R0770,"384,440.00","3,845,135","33,099","21,124",0,0,0,0,0,413,"7,973",306,"1,412","65,158.45","40,132",0,"1,431",0,"107,959","21,458"
R0780,"72,235,674.00","1,790,461","32,300","154,374","114,522","159,614","179,656.46",0,"73,021","171,813","269,245","361,369","203,712","14,911,890.73","725,752","4,524,306","2,071,153","350,549","148,940,609","36,110"
R0790,"137,893,406.00","238,345",0,0,0,0,145.82,0,0,0,"5,333",62,"40,528",0,0,0,"59,860","2,280",0,0
R0800,0,"777,653",0,0,0,149,0,0,0,0,584,"10,302",0,0,0,"401,852","901,645","464,370",0,0
R0810,0,"436,412","43,513","3,671",0,442,0,163,"3,008",0,"250,000",0,"1,282",0,0,"13,146","19,725","3,706","78,985,599","3,936"
R0820,"76,892,675.00","870,875","43,647","40,705","170,272","82,193","125,417.54","47,230","9,286","316,187","254,164","24,533","10,921","519,882.57","105,254","482,043","923,836","270,881","9,052,507","55,345"
R0830,"144,693.00","150,749","19,650","2,301",731,733,171.42,799,413,"1,791","2,230",133,"18,571","490,875.76","5,946","7,441",623,"1,940","3,570,369","5,885"
R0840,"106,044,477.00","1,406,471","49,081","26,276","34,041","93,816","152,288.42","14,808","82,398","110,397","76,780","179,840","30,498","4,457,012.19","285,626","203,617","606,218","277,388","47,124,325","59,267"
R0850,"129,110,000.00","248,817","167,419",0,"682,977",0,"313,197.17","73,388","8,000",0,"453,926","90,009","81,858",0,0,"771,116","1,628,747","141,077",0,"181,749"
R0860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0870,"129,110,000.00","248,817","167,419",0,"682,977",0,"313,197.17","73,388","8,000",0,"453,926","90,009","81,858",0,0,"771,116","1,628,747","141,077",0,"181,749"
R0880,"16,730,122.00","1,011,107","33,473","67,566","138,305","2,639",0,"9,544","2,641",42,"86,158","76,512","8,945","9,449,695.14","108,242","643,342","164,929","74,273",0,"16,234"
R0890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0900,"17,356,399,006.00","96,166,794","5,943,050","10,744,729","25,956,724","10,441,151","23,625,315.34","3,901,435","7,115,769","15,976,536","24,378,745","30,016,503","5,644,301","557,940,147.00","45,900,228","163,227,346","136,255,534","47,513,637","4,378,629,295","4,463,813"
R1000,"1,538,968,406.00","21,267,958","837,845","775,308","1,378,477","828,242","1,352,256.97","299,693","1,388,915","1,184,228","1,914,325","1,472,117","332,863","59,921,511.00","2,934,025","12,219,981","7,638,891","1,689,926","444,437,375","914,384"
