,AXA,GENERALI ITALIA,HDI,ZURICH_LIFE,CREDIT_AGRICOLE,CREDEM_VITA,CARDIF,HELVETIA_VITA,BMP VITA,UNICREDIT VITA,CNP_VITA,ALLIANZ_UNICREDIT,ATHORA,NOBIS_VITA,MEDIOLANUM,POSTE_VITA,QRT_INTESA_VITA,QRT_FIDEURAM_VITA,ITAS_VITA,GROUPAMA,REALE_MUTUA,BBC_VITA
R0530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0540,0,9274950,1249941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1546319,4034123,0
R0550,0,176153,42978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55048,178228,0
R0560,0,1060817,56097,0,0,0,426.16,0,1393,0,0,0,0,0,0,15854,1013,0,0,89311,373723,0
R0570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,0,0,0,0,0
R0580,0,1045088,54418,0,0,0,426.16,0,1386,0,0,0,0,0,0,11306,0,0,0,85035,364125,0
R0590,0,15728,1679,0,0,0,0,0,7,0,0,0,0,0,0,4549,0,0,0,4276,9598,0
R0600,12095638985,59594885,3463224,4420605,16279269,4901227,17445467.23,2277373,5839613,6476274,15576307,8671410,4595961,181783585.47,1113258,133958246,78819758,8904673,2223869527,1588296,10430787,4677612166
R0610,16477398,0,231,0,0,0,86145.7,0,0,0,0,0,0,0,-373,-15340,0,0,3127562,0,60655,0
R0620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0630,7855059,0,228,0,0,0,77742.66,0,0,0,0,0,0,0,-745,-33413,0,0,3039453,0,52592,0
R0640,8622339,0,3,0,0,0,8403.04,0,0,0,0,0,0,0,372,18073,0,0,88109,0,8063,0
R0650,12079161587,59594885,3462993,4420605,16279269,4901227,17359321.53,2277373,5839613,6476274,15576307,8671410,4595961,181783585.47,1113631,133973587,78819758,8904673,2220741965,1588296,10370132,4677612166
R0660,0,0,0,0,0,0,0,0,0,0,0,0,46426,0,0,0,0,0,0,0,0,0
R0670,11968484663,59012836,3423265,4349009,16075141,4821632,17231092.09,2225528,5809051,6430761,15338298,8603102,4487110,179716737.41,1060210,131248508,78099708,8831203,2145083123,1568776,10227640,4590233676
R0680,110676924,582048,39728,71596,204127,79595,128229.44,51845,30562,45513,238009,68308,62425,2066848.06,53421,2725079,720050,73470,75658842,19520,142492,87378490
R0690,4714510265,15093478,691740,5987451,8526673,5197613,5393081.01,1476415,1092664,8861898,7393485,20587885,648934,348555781.75,43501129,22196294,51023877,37001898,1864283612,760267,2836429,1337951393
R0700,0,0,0,0,0,0,0,0,0,0,0,0,3152,0,0,0,0,0,0,0,0,0
R0710,4686234221,14973070,685318,5941706,8494785,5113436,5371932.14,1463036,1086960,8851555,7346441,20557002,636977,340450562.43,42938992,21854329,50658389,36760886,1823991676,753527,2801675,1321305199
R0720,28276044,120408,6423,45745,31888,84177,21148.87,13380,5704,10343,47044,30883,8805,8105218.32,562136,341964,365489,241011,40291936,6739,34754,16646194
R0730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0740,0,0,0,0,0,0,0,0,920,0,0,0,0,296295.54,0,0,0,0,75646,0,0,0
R0750,5472962,170820,9389,19793,9469,0,8459.93,1456,0,36290,1436,14125,1095,0,14206,9334,25215,17994,2261877,36272,109663,8420402
R0760,1341307,19667,7498,865,465,2724,7004.19,259,2411,1431,1124,17,584,409969.27,683,755,7502,2610,357265,8317,39524,214705
R0770,384440,3845135,33099,21124,0,0,0,0,0,413,7973,306,1412,65158.45,40132,0,1431,0,107959,21458,124790,417015
R0780,72235674,1790461,32300,154374,114522,159614,179656.46,0,73021,171813,269245,361369,203712,14911890.73,725752,4524306,2071153,350549,148940609,36110,1063783,134778956
R0790,137893406,238345,0,0,0,0,145.82,0,0,0,5333,62,40528,0,0,0,59860,2280,0,0,0,0
R0800,0,777653,0,0,0,149,0,0,0,0,584,10302,0,0,0,401852,901645,464370,0,0,26313,255685047
R0810,0,436412,43513,3671,0,442,0,163,3008,0,250000,0,1282,0,0,13146,19725,3706,78985599,3936,12659,0
R0820,76892675,870875,43647,40705,170272,82193,125417.54,47230,9286,316187,254164,24533,10921,519882.57,105254,482043,923836,270881,9052507,55345,395725,9688578
R0830,144693,150749,19650,2301,731,733,171.42,799,413,1791,2230,133,18571,490875.76,5946,7441,623,1940,3570369,5885,48295,5309534
R0840,106044477,1406471,49081,26276,34041,93816,152288.42,14808,82398,110397,76780,179840,30498,4457012.19,285626,203617,606218,277388,47124325,59267,363727,46767184
R0850,129110000,248817,167419,0,682977,0,313197.17,73388,8000,0,453926,90009,81858,0,0,771116,1628747,141077,0,181749,0,55959386
R0860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0870,129110000,248817,167419,0,682977,0,313197.17,73388,8000,0,453926,90009,81858,0,0,771116,1628747,141077,0,181749,0,55959386
R0880,16730122,1011107,33473,67566,138305,2639,0,9544,2641,42,86158,76512,8945,9449695.14,108242,643342,164929,74273,0,16234,131974,3291769
R0890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0900,17356399006,96166794,5943050,10744729,25956724,10441151,23625315.34,3901435,7115769,15976536,24378745,30016503,5644301,557940147,45900228,163227346,136255534,47513637,4378629295,4463813,20169743,6536096135
R1000,1538968406,21267958,837845,775308,1378477,828242,1352256.97,299693,1388915,1184228,1914325,1472117,332863,59921511,2934025,12219981,7638891,1689926,444437375,914384,4519950,318316265
