,HDI,UNICREDIT VITA,ATHORA,ALLIANZ_UNICREDIT,CNP_VITA,BMP VITA,HELVETIA_VITA,CARDIF,CREDEM_VITA,CREDIT_AGRICOLE,ZURICH_LIFE
R0010,253.655,386.548,141241.0,536.718,1244656.0,374291.0,107.306,1676662.54,795961.0,1467105.0,456710.0
R0020,83.11,33.496,33006.0,109.307,34944.0,4504.0,3.699,5697.63,11299.0,3952.0,25130.0
R0030,144.417,177.998,157699.0,331.628,998098.0,149297.0,86.468,617808.66,462583.0,1022431.0,320075.0
R0040,32.133,0.0,0.0,0.0,0.0,520.0,0.0,16104.54,0.0,0.0,0.0
R0050,287.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0060,-272.702,-122.561,82993.0,-237.75,-486911.0,-60860.0,-42.546,-383367.64,-163029.0,-505347.0,-173811.0
R0070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0100,527.607,475.481,248953.0,739.905,1790787.0,437752.0,154.928,1933105.53,621814.0,1988141.0,628104.0
