,HDI,UNICREDIT VITA,ATHORA,ALLIANZ_UNICREDIT,CNP_VITA,BMP VITA,HELVETIA_VITA,CARDIF,CREDEM_VITA,CREDIT_AGRICOLE,ZURICH_LIFE,AXA,GENERALI ITALIA
R0550,42978.0,-1.0,0.0,0.0,0.0,0.0,-1.0,214375.14,0.0,0.0,-1.0,-1.0,176153.0
R0560,56097.0,-1.0,0.0,0.0,0.0,1.393,-1.0,426.16,0.0,0.0,-1.0,12079161587.0,1060817.0
R0570,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,426.16,0.0,0.0,-1.0,12079161587.0,0.0
R0580,54418.0,-1.0,0.0,0.0,0.0,1.386,-1.0,426.16,0.0,0.0,-1.0,12079161587.0,1045088.0
R0590,1679.0,-1.0,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,-1.0,0.0,15728.0
R0600,3463224.0,6476274.0,4595961.0,8671410.0,15576307.0,5839613.0,2277373.0,17445467.23,4901227.0,16279269.0,4420605.0,12095638985.0,59594885.0
R0610,231.0,0.0,0.0,0.0,0.0,0.0,0.0,86145.7,0.0,0.0,0.0,16477398.0,0.0
R0620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0630,228.0,0.0,0.0,0.0,0.0,0.0,0.0,77742.66,0.0,0.0,0.0,7855059.0,0.0
R0640,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1403.04,0.0,0.0,0.0,8622339.0,0.0
R0650,3462993.0,6476274.0,4595961.0,8671410.0,15576307.0,5839613.0,2277373.0,17359321.53,4901227.0,16279269.0,4420605.0,12079161587.0,59594885.0
R0660,0.0,0.0,46426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0670,3423265.0,6430761.0,4487110.0,8603102.0,15338298.0,5809051.0,2225528.0,17231092.09,4821632.0,16075141.0,4349009.0,11968484663.0,59012836.0
R0680,39728.0,45513.0,62425.0,68308.0,238009.0,30582.0,51845.0,128229.44,79595.0,204127.0,71596.0,110676924.0,582048.0
R0690,691740.0,8861898.0,648934.0,20587885.0,7393485.0,1092664.0,1476415.0,5393081.01,5197613.0,8526673.0,5987451.0,4714510265.0,15093478.0
R0700,0.0,0.0,3152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0710,685318.0,8851555.0,636977.0,20557002.0,7346441.0,1086960.0,1463036.0,5371932.14,5113436.0,8494785.0,5941706.0,4686234221.0,14973070.0
R0720,6423.0,10343.0,8805.0,30883.0,47044.0,5704.0,13380.0,21148.87,84177.0,31888.0,45745.0,28276044.0,120408.0
R0730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
R0740,0.0,0.0,0.0,0.0,0.0,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0750,9389.0,36.29,1095.0,14125.0,1436.0,0.0,1456.0,8459.93,0.0,9469.0,19793.0,5472962.0,170820.0
R0760,7498.0,1.431,584.0,17.0,1124.0,2411.0,259.0,7004.19,2724.0,465.0,865.0,1341307.0,19667.0
R0770,33099.0,413.0,1412.0,306.0,7973.0,0.0,0.0,0.0,0.0,0.0,21124.0,384440.0,3845135.0
R0780,32300.0,171.813,203712.0,361369.0,269245.0,73021.0,0.0,179656.46,159614.0,114522.0,154374.0,72235674.0,1790461.0
R0790,0.0,0.0,40528.0,62.0,5333.0,0.0,0.0,145.82,0.0,0.0,-1.0,137893406.0,238345.0
R0800,0.0,0.0,0.0,10302.0,584.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,777653.0
R0810,43513.0,0.0,1282.0,0.0,250000.0,3008.0,163.0,0.0,442.0,0.0,3671.0,0.0,436412.0
R0820,43647.0,316187.0,10921.0,24533.0,254164.0,9286.0,47230.0,125417.54,82193.0,170272.0,40705.0,76892675.0,870875.0
R0830,19650.0,1791.0,18571.0,133.0,2230.0,413.0,799.0,171.42,733.0,731.0,2301.0,144693.0,150749.0
R0840,49081.0,110397.0,30498.0,179840.0,76780.0,82398.0,14808.0,152288.42,93816.0,34041.0,26276.0,106044477.0,1406471.0
R0850,167419.0,0.0,81858.0,90009.0,453926.0,8000.0,73388.0,313197.17,0.0,682977.0,0.0,129110000.0,248817.0
R0860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0870,167419.0,0.0,81858.0,90009.0,453926.0,8000.0,73388.0,313197.17,0.0,682977.0,0.0,129110000.0,248817.0
R0880,33473.0,42.0,8945.0,76512.0,86158.0,2641.0,9544.0,0.0,2639.0,138305.0,67566.0,16730122.0,1011107.0
R0890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23625315.34,0.0,0.0,0.0,0.0,0.0
R0900,5943050.0,15976536.0,5644301.0,30016503.0,24378745.0,7115769.0,3901435.0,23625315.34,10441151.0,25956724.0,10744729.0,1354020.0,96166794.0
R1000,837845.0,1184228.0,332863.0,1472117.0,1914325.0,1388915.0,299693.0,1352256.97,828242.0,1378477.0,775308.0,3350568.4,21267958.0
